#	Created	Name	Phone	Email	City	Language	Track	Urgency	Priority	Status	For Whom	Caller Relation	Referred Name	Caller Type	Involves Minor	Age Band	Guardian Name	Guardian Phone	Substance Primary	Usage Pattern	Mental Health	Medical Flags	Medical Aid	Readiness Score	Notes for Therapist	MH Description	AUDIT-C Score	UTM Source	Lead ID
1	2026/06/26, 19:45:30	Alex	0821111111	alex@test.com	Cape Town	english	unknown	crisis	NORMAL	new	self				No	adult					unknown		No		

Mental health description: severe crisis situation	severe crisis situation			fa8a8d26-09ca-4b81-8532-d1652b9a7266
2	2026/06/26, 19:41:13	John	0821111111	john@test.com	Cape Town	english	unknown	urgent	NORMAL	new	self				No	adult					unknown		No		

Mental health description: severe crisis	severe crisis			7a8f34a2-2d3e-4413-be38-4e57cfc8ef40
3	2026/06/26, 15:47:50	Nomsa	072 777 8888	nomsa@example.com	Port Elizabeth	english	unknown	normal	NORMAL	new	family			family_member	No	adult			Drugs or substances		unknown		Unsure						4443ecc4-c9ac-426a-bea2-e0c099bf53fd
4	2026/06/26, 15:43:33	Jordan	076 111 2222	jordan@example.com	Durban	english	unknown	normal	NORMAL	new	self			myself	No	adult			Alcohol		unknown		Unsure						4bd7d654-792b-44c1-979a-6bd3423c4f9d
5	2026/06/26, 15:40:30	Alex	083 222 3333	alex@example.com		english	unknown	normal	NORMAL	new	self				No	adult					unknown								a366f886-2002-4a44-a57b-cf5d0e3cf75b
6	2026/06/26, 15:19:06	Ms Dlamini	012 444 5678	dlamini@school.edu.za	Pretoria	english	unknown	normal	NORMAL	new	self			cbo_school	No	adult			More than one of these		unknown		No						f9a6922a-fac2-4f5d-8dbe-142f8ebce63f
7	2026/06/26, 15:02:19	Mark	071 888 9999	mark@example.com	Cape Town	english	unknown	normal	NORMAL	new	self			under_18	YES	minor_other	Sarah	082 555 1234	Drugs or substances		unknown		Yes						9eac06a5-455a-4cfa-9f58-6b8c665cf8ba
8	2026/06/26, 14:54:33	Jamie	071 333 4567	jamie@example.com	Johannesburg	english	unknown	normal	NORMAL	new	self			i_am_under_18	YES	minor_self	Yes, my mom Sarah	082 555 1234	Drugs or substances		unknown		Unsure						2f339c82-936d-47a9-abfb-67d424c53a26
9	2026/06/25, 21:09:02	Clive Jr	0824516786	minor-test@example.com	Cape Town	english	unknown	normal	NORMAL	new	self			under_18	YES	minor_other	Clive	08255544425	Alcohol		unknown		No						3ae3c90d-53b2-46ec-ad63-7fc9a7806260
10	2026/06/25, 21:02:45	Pete	0824516786	attie@ngwaverley.co.za	Pretoria	english	unknown	normal	NORMAL	new	self			under_18	No	adult			Drugs or substances		unknown		Yes						d16cc2a9-6d2a-4414-8eb4-15a8705e584a
11	2026/06/25, 20:55:13	Pete	0824516786	attie@ngwaverley.co.za	Pretoria	english	unknown	normal	NORMAL	new	self			under_18	No	adult			Drugs or substances		unknown		Yes						4734ad5e-6892-4139-a2e5-5044431dfdac
12	2026/06/25, 20:46:42	Victor	0824516786	attie@ngwaverley.co.za	Pretoria	english	unknown	normal	NORMAL	new	self			under_18	No	adult			Drugs or substances		unknown		Yes						3081db7f-3285-436d-93d8-76ea0ac7e69a
13	2026/06/25, 20:38:27	Pete	0824516786	attie@ngwaverley.co.za	Pretoria	english	unknown	normal	NORMAL	new	self			under_18	No	adult			Drugs or substances		unknown		Yes						ba40565f-15d9-4ebc-93db-08cd2dd228b1
14	2026/06/24, 14:20:27	Attie	0824185054		Pretoria	english	unknown	normal	NORMAL	new	self			myself	No	adult			Alcohol		unknown		Yes						2dd08597-9800-4b3f-9110-505d35189608
15	2026/06/24, 14:04:40	Attie	0824185054		Pretoria	english	unknown	normal	NORMAL	new	self			myself	No	adult			Alcohol		unknown		Yes						243d6aff-04b1-4793-9430-409fe183de36
16	2026/06/24, 12:34:31	Test User	+1287901404		Cape Town	english	unknown	normal	NORMAL	new	self			myself	No	adult			Alcohol		unknown		Yes						423a0722-8ace-44f9-a313-102c27507416
17	2026/06/24, 12:04:00	Attie	0824185054		Pretoria	english	unknown	normal	NORMAL	new	self			myself	No	adult			Alcohol		unknown		Yes						ced77776-7231-419e-ac2b-cae1468541f8
